월(Monthly),구분,시군구,미분양현황
전남,담양군,0,
전남,곡성군,0,
전남,구례군,0,
전남,고흥군,8,
전남,보성군,0,
전남,화순군,0,
전남,장흥군,0,
전남,강진군,14,
전남,해남군,22,
전남,영암군,54,
전남,무안군,943,
전남,함평군,5,
전남,영광군,39,
전남,장성군,0,
전남,완도군,0,
전남,진도군,4,
전남,신안군,0,
경북,계,14,929.0
경북,포항시,5,922.0
경북,경주시,1,361.0
경북,김천시,358,
경북,안동시,172,
경북,구미시,3,539.0
경북,영주시,548,
경북,영천시,204,
경북,상주시,4,
경북,문경시,70,
경북,경산시,2,107.0
경북,군위군,0,
경북,의성군,0,
경북,청송군,0,
경북,영양군,0,
경북,영덕군,0,
경북,청도군,0,
경북,고령군,145,
경북,성주군,0,
경북,칠곡군,428,
경북,예천군,2,
경북,봉화군,0,
경북,울진군,69,
경북,울릉군,0,
경남,계,12,124.0
경남,창원시,0,
경남,마산시,750,
경남,진주시,2,166.0
경남,진해시,2,914.0
경남,통영시,849,
경남,사천시,159,
경남,김해시,704,
경남,밀양시,1,360.0
경남,거제시,42,
경남,양산시,603,
경남,의령군,2,121.0
경남,함안군,40,
경남,창녕군,62,
경남,고성군,12,
경남,남해군,0,
경남,하동군,0,
경남,산청군,64,
경남,함양군,270,
경남,거창군,7,
경남,합천군,1,
제주,계,400,
제주,제주시,295,
제주,서귀포시,105,
서울,계,2,85.0
서울,종로구,45,
서울,중구,220,
서울,용산구,0,
서울,성동구,82,
서울,광진구,22,
서울,동대문구,24,
서울,중랑구,0,
서울,성북구,156,
서울,강북구,0,
서울,도봉구,0,
서울,노원구,0,
서울,은평구,183,
서울,서대문구,0,
서울,마포구,225,
서울,양천구,209,
서울,강서구,26,
서울,구로구,0,
서울,금천구,0,
서울,영등포구,21,
서울,동작구,662,
서울,관악구,48,
서울,서초구,94,
서울,강남구,18,
서울,송파구,0,
서울,강동구,50,
부산,계,12,685.0
부산,중구,0,
부산,서구,1,96.0
부산,동구,194,
부산,영도구,149,
부산,부산진구,32,
부산,동래구,1,646.0
부산,남구,1,143.0
부산,북구,420,
부산,해운대구,28,
부산,사하구,1,438.0
부산,금정구,969,
부산,강서구,1,169.0
부산,연제구,1,573.0
부산,수영구,492,
부산,사상구,343,
부산,기장군,1,993.0
대구,계,19,257.0
대구,중구,401,
대구,동구,952,
대구,서구,2,2.0
대구,남구,360,
대구,북구,2,336.0
대구,수성구,4,107.0
대구,달서구,7,636.0
대구,달성군,1,463.0
인천,계,1,840.0
인천,중구,102,
인천,동구,556,
인천,남구,0,
인천,연수구,618,
인천,남동구,29,
