연월,지역,사업유형,주소,주택명,세대수
2026-12,전북,분양,전북특별자치도 전주시 덕진구 송천동2가  1315-0,에코시티 한양수자인 디에스틴 주상복합,268
2026-11,전북,분양임대조합,전북특별자치도 전주시 완산구 서신동  40-4,서신 더샵 비발디,1914
2025-12,전북,분양,전북특별자치도 정읍시 농소동  47-34,정읍 푸르지오 더 퍼스트,707
2026-09,제주,,제주시 화북일동 1400번지 일원,제주화북 A22,272
2025-11,제주,임대,제주특별자치도 서귀포시 대정읍 하모리 1085-0,서귀포 대정 통합공공임대주택,37
2025-05,제주,분양,제주특별자치도 제주시 애월읍 애월리 456-0,엘리프 애월 ,136
2025-02,제주,분양,제주특별자치도 제주시 애월읍 하귀1리 21-2,효성해링턴 플레이스 제주,425
2026-07,제주,분양,제주특별자치도 제주시 연동  261-37,더샵 연동애비뉴,204
2025-10,제주,분양조합,제주특별자치도 제주시 연동  276-13,연동 한일베라체 파크뷰 101동,70
2025-10,제주,분양조합,제주특별자치도 제주시 연동  279-0,연동 한일베라체 파크뷰 102동,84
2025-02,제주,분양,제주특별자치도 제주시 일도일동  1279-5,제주 플래티움 61,58
2026-11,충남,분양,충청남도 공주시 월송동  671-1,공주월송지구 경남아너스빌,366
2025-05,충남,임대,충청남도 논산시 강경읍 산양리 267-3,성진 더포레,60
2025-02,충남,분양,충청남도 논산시 대교동  235-1,논산 아이파크,453
2026-08,충남,분양,충청남도 논산시 연무읍 안심리 26-0,논산 푸르지오 더 퍼스트,433
2025-01,충남,임대,충청남도 당진시 수청동 4BL,당진수청1지구하이앤4BL(민간임대),824
2026-12,충남,분양,충청남도 보령시 동대동  391-0,보령 엘리체 헤리티지,971
2026-10,충남,분양,충청남도 서산시 석림동  528-1,서산 센트럴 아이파크,410
2025-08,충남,분양,충청남도 아산시 권곡동  240-2,아산 한신더휴,603
2026-03,충남,분양,충청남도 아산시 모종동  0-0,힐스테이트 모종 블랑루체,1060
2026-01,충남,분양,충청남도 아산시 모종동  555-1,아산 벨코어 스위첸,299
2025-07,충남,분양,충청남도 아산시 배방읍 세교리 0-0,엘리프 아산탕정,682
2025-07,충남,분양,충청남도 아산시 배방읍 세교리 1562-0,아산배방(2-A13BL) 금강펜테리움 센트럴파크,438
2026-02,충남,분양,충청남도 아산시 배방읍 세교리 1600-0,힐스테이트 자이 아산센텀,787
2025-01,충남,분양,충청남도 아산시 배방읍 세교리 1605,e편한세상 탕정 퍼스트드림,893
2026-05,충남,분양,충청남도 아산시 신창면 남성리 177-3,아산 신창1차 광신프로그레스,450
2026-02,충남,분양,충청남도 아산시 용화동  133-2,아산자이 그랜드파크 2단지,849
2026-02,충남,분양,충청남도 아산시 용화동  137-1,아산자이 그랜드파크 1단지,739
2026-08,충남,분양,충청남도 아산시 탕정면 갈산리 609-5 일원,탕정 푸르지오 리버파크,1626
2026-12,충남,분양,충청남도 아산시 탕정지구 A4BL,더샵 탕정인피니티시티,1140
2025-06,충남,분양,충청남도 예산군 삽교읍 목리 826-0,대광로제비앙,601
2026-07,충남,분양,충청남도 천안시 동남구 문화동 78-1외 9필지,트루엘 시그니처 천안역,236
2025-06,충남,분양,충청남도 천안시 동남구 신부동  293-0,더샵 신부센트라,592
2026-02,충남,분양,충청남도 천안시 동남구 용곡동  462-77,천안 일봉공원 호반써밋 센트럴파크(1BL),453
2025-08,충남,분양,충청남도 천안시 동남구 청당동  361-13,천안 롯데캐슬 더 청당,1199
2025-08,충남,임대,충청남도 천안시 동남구 청당동 310-6,행정타운두산위브더클래스(민간임대),1202
2025-03,충남,분양,충청남도 천안시 서북구 두정동  37-1,힐스테이트 두정역,997
2025-10,충남,분양,충청남도 천안시 서북구 두정동  490-0,천안 롯데캐슬 더 두정,584
2025-06,충남,분양,충청남도 천안시 서북구 두정동 393-21,유보라천안두정역,556
2025-01,충남,분양,충청남도 천안시 서북구 부대동  760-0,천안 부성지구 한라비발디,654
2025-04,충남,분양,충청남도 천안시 서북구 성정동  110-6,천안역 경남아너스빌 어반하이츠,293
2026-11,충남,분양,충청남도 청양군 청양읍 읍내리 308-4,청양 금성백조 예미지 퍼스트클래스,182
2025-01,충남,분양,충청남도 홍성군 홍북읍 신경리 0-0,내포신도시 반도유보라 마크에디션,955
2025-11,충남,분양,충청남도 홍성군 홍북읍 신경리 1361-0,충남내포신도시 디에트르 에듀시티(RM14BL),1474
2025-03,충남,분양,충청남도 홍성군 홍성읍 월산리 906-0,e편한세상 홍성 더센트럴,470
2026-04,충북,,충청북도 괴산군 괴산읍 대사리 59-1번지 일원,괴산미니복합타운 A1,350
2025-12,충북,분양,충청북도 영동군 영동읍 동정리 산 3-25,영동 코아루 리더스원,200
2025-04,충북,임대,충청북도 옥천군 옥천읍 금구리 72-3,충북옥천(영구임대 국민임대),70
2025-03,충북,분양,충청북도 옥천군 옥천읍 동안리 15-1,e편한세상 옥천 퍼스트원,545
2025-01,충북,분양,충청북도 옥천군 옥천읍 마암리 산 2-3,옥천역 금호어울림 더퍼스트,499
2025-11,충북,분양,충청북도 음성군 금왕읍 무극리 504-5,음성자이 센트럴시티,1505
2025-06,충북,분양,충청북도 음성군 대소면 성본리 0-0,음성 푸르지오 센터피크,875
2025-11,충북,분양,충청북도 음성군 대소면 성본리 0-0,음성 우미린 풀하우스,1019
2025-04,충북,분양,충청북도 음성군 대소면 성본리 293-5,음성 푸르지오 마크베르,644
2025-08,충북,분양임대,충청북도 음성군 맹동면 본성리 360-25,음성 아이파크,773
2025-09,충북,분양,충청북도 제천시 신월동  1474-0,제천자이 더 스카이,713
2025-04,충북,분양,충청북도 제천시 장락동  622-6,세영리첼 에듀퍼스트,564
2026-05,충북,임대,충청북도 증평군 증평읍 증평리 661,증평석미아데나에듀포레(민간임대),414
2025-05,충북,임대,충청북도 증평군 증평읍 창동리 554-0,증평창동 행복주택,32
2025-03,충북,임대,충청북도 진천군 문백면 봉죽리 266-0,진천문백 임대주택(국민.행복.영구),154
2026-01,충북,임대,충청북도 청주시 상당구 지북동  0-0,청주지북 A4 행복주택,254
